"g_dyad_ID_post","g_edge_weights_post","ind1_ID","ind2_ID","ind1_knowledge","ind2_knowledge","knowledge_comb","knowledge_comb2","dyad_ID","g_edge_weights_pre","HKLK_no_dual_events_mean","edge_diff_abs","knowledge_comb3","knowledge_comb4","edge_diff_resid","ind1_visit_no_pre","ind2_visit_no_pre","ind1_visit_no_post","ind2_visit_no_post","new_edge","HKLK_no_dual_events_binary","knowledge_comb2_HKLK_dual_events_binary","HKLK_no_dual_events_binary_c","HKLK_no_dual_events_mean_gc","HKLK_no_dual_events_mean_gc_z","HKLK_no_dual_events_mean_z","edge_diff_resid_10","g_edge_weights_pre_z"
"J3508 J5607",0.0217391304347826,"J3508","J5607","naive","naive","naive naive","naive naive","J3508 J5607",0.0217391304347826,0,0,"same","naive",-0.00310901390120055,86,96,54,64,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0310901390120055,-0.330046321036974
"J3549 J5316",0.0217391304347826,"J3549","J5316","naive","naive","naive naive","naive naive","J3549 J5316",0.032258064516129,0,-0.0105189340813464,"same","naive",-0.00697424873865698,21,96,4,88,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0697424873865698,-0.0765419331470279
"J3549 J664",0.0137931034482759,"J3549","J664","naive","knowledge","naive knowledge","knowledge naive","J3549 J664",0.00826446280991736,0,0.00552864063835854,"different","knowledge",-0.00610370700501512,21,512,4,366,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,-0.0610370700501512,-0.65478334684641
"J3551 J4214",0.010989010989011,"J3551","J4214","naive","naive","naive naive","naive naive","J3551 J4214",0.0108695652173913,0,0.0001194457716197,"same","naive",-0.00986505734826717,2,167,39,134,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.0986505734826717,-0.59200085518992
"J3551 J4954",0.01,"J3551","J4954","naive","naive","naive naive","naive naive","J3551 J4954",0.032258064516129,0,-0.022258064516129,"same","naive",-0.0187133791734396,2,44,39,113,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.187133791734396,-0.0765419331470279
"J3610 J4151",0.0347826086956522,"J3610","J4151","naive","naive","naive naive","naive naive","J3610 J4151",0.0186046511627907,0,0.0161779575328615,"same","naive",0.0110862444151096,169,210,111,56,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.110862444151096,-0.405586698327591
"J3610 J4345",0.0111111111111111,"J3610","J4345","naive","naive","naive naive","naive naive","J3610 J4345",0.0168067226890756,0,-0.0056956115779645,"same","naive",-0.0119245953767202,169,6,111,22,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,-0.119245953767202,-0.448916445778647
"J3610 J4521",0.0536912751677852,"J3610","J4521","naive","knowledge","naive knowledge","knowledge naive","J3610 J4521",0.0603174603174603,0,-0.0066261851496751,"different","knowledge",0.0146673309379856,169,353,111,172,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,0.146673309379856,0.59968437478205
"J3610 J4601",0.0595238095238095,"J3610","J4601","naive","knowledge","naive knowledge","knowledge naive","J3610 J4601",0.0264705882352941,0,0.0330532212885154,"different","knowledge",0.0329370674001548,169,302,111,239,"old",0,"knowledge naive_0",-0.5,-2.91891891891892,-0.323867453226871,-0.229061120372005,0.329370674001548,-0.216019053229222
"J3610 J4699",0.0357142857142857,"J3610","J4699","naive","naive","naive naive","naive naive","J3610 J4699",0.0211640211640212,0,0.0145502645502645,"same","naive",0.0110774681507208,169,175,111,352,"old",0,"naive naive_0",-0.5,-0.366310160427808,-0.248069775821609,-0.229061120372005,0.110774681507208,-0.343906349299034
