"ID1","ID2"
"J1093","J3715"
"J1093","J3716"
"J1093","J3718"
"J1093","J3749"
"J1093","J3753"
"J1093","J3759"
"J1093","J3845"
"J1093","J3884"
"J1093","J3899"
"J1093","J3987"
"J1093","J4001"
"J1093","J4044"
"J1093","J4046"
"J1093","J4109"
"J1093","J4112"
"J1093","J4126"
"J1093","J4151"
"J1093","J4161"
"J1093","J4162"
"J1093","J4189"
"J1093","J42"
"J1093","J4214"
"J1093","J4304"
"J1093","J4315"
"J1093","J4345"
"J1093","J4514"
"J1093","J4521"
"J1093","J4552"
"J1093","J4569"
"J1093","J4601"
"J1093","J4651"
"J1093","J4654"
"J1093","J4715"
"J1093","J4728"
"J1093","J4731"
"J1093","J4747"
"J1093","J4782"
"J1093","J4840"
"J1093","J4954"
"J1093","J4961"
"J1093","J4962"
"J1093","J4967"
"J1093","J4968"
"J1093","J4986"
"J1093","J4998"
"J1093","J5006"
"J1093","J5012"
"J1093","J5017"
"J1093","J5021"
"J1093","J5043"
"J1093","J505"
"J1093","J5053"
"J1093","J5074"
"J1093","J5089"
"J1093","J5095"
"J1093","J5121"
"J1093","J5146"
"J1093","J5215"
"J1093","J5222"
"J1093","J5255"
"J1093","J5269"
"J1093","J5271"
"J1093","J5309"
"J1093","J5316"
"J1093","J5379"
"J1093","J5428"
"J1093","J5456"
"J1093","J5475"
"J1093","J5476"
"J1093","J5477"
"J1093","J5489"
"J1093","J5503"
"J1093","J5519"
"J1093","J5559"
"J1093","J5566"
"J1093","J5568"
"J1093","J5582"
"J1093","J5583"
"J1093","J5595"
"J1093","J56"
"J1093","J5607"
"J1093","J5618"
"J1093","J5645"
"J1093","J5657A"
"J1093","J5658"
"J1093","J595"
"J1093","J5999"
"J1093","J6000"
"J1093","J6014"
"J1093","J6017"
"J1093","J6023"
"J1093","J6024"
"J1093","J6027"
"J1093","J640"
"J1093","J664"
"J1093","J910"
"J1093","J971"
"J1093","J990"
"J1096","J1154"
"J1096","J1266"
"J1096","J1317"
"J1096","J1345"
"J1096","J1351"
"J1096","J1458"
"J1096","J1480"
"J1096","J1529"
"J1096","J1556"
"J1096","J1618"
"J1096","J1623"
"J1096","J1627"
"J1096","J1631"
"J1096","J164"
"J1096","J1735"
"J1096","J1902"
"J1096","J1916"
"J1096","J1962"
"J1096","J1964"
"J1096","J1973"
"J1096","J2039"
"J1096","J2124"
"J1096","J2128"
"J1096","J2168"
"J1096","J2196"
"J1096","J2375"
"J1096","J2377"
"J1096","J2392"
"J1096","J2415"
"J1096","J2488"
"J1096","J2563"
"J1096","J2572"
"J1096","J2621"
"J1096","J2661"
"J1096","J2728"
"J1096","J2801"
"J1096","J2941"
"J1096","J295"
"J1096","J2969"
"J1096","J3096"
"J1096","J3305"
"J1096","J3369"
"J1096","J3383"
"J1096","J3492"
"J1096","J3508"
"J1096","J3549"
"J1096","J3610"
"J1096","J3679"
"J1096","J3702"
"J1096","J3714"
"J1096","J3715"
"J1096","J3716"
"J1096","J3718"
"J1096","J3749"
"J1096","J3753"
"J1096","J3759"
"J1096","J3845"
"J1096","J3884"
"J1096","J3899"
"J1096","J3987"
"J1096","J4001"
"J1096","J4044"
"J1096","J4046"
"J1096","J4109"
"J1096","J4112"
"J1096","J4126"
"J1096","J4151"
"J1096","J4161"
"J1096","J4162"
"J1096","J4189"
"J1096","J42"
"J1096","J4214"
"J1096","J4304"
"J1096","J4315"
"J1096","J4345"
"J1096","J4514"
"J1096","J4521"
"J1096","J4552"
"J1096","J4569"
