"JID","knowledge","phase","feeder","visit_number"
"J5074","knowledgeable","post_knowledge","visit_number_LK",15
"J5074","knowledgeable","post_knowledge","visit_number_HK",17
"J5084","naive","post_knowledge","visit_number_LK",36
"J5084","naive","post_knowledge","visit_number_HK",46
"J5087","naive","post_knowledge","visit_number_LK",490
"J5087","naive","post_knowledge","visit_number_HK",77
"J5089","knowledgeable","post_knowledge","visit_number_LK",162
"J5089","knowledgeable","post_knowledge","visit_number_HK",417
"J5090","naive","post_knowledge","visit_number_LK",0
"J5090","naive","post_knowledge","visit_number_HK",0
"J5095","naive","post_knowledge","visit_number_LK",2
"J5095","naive","post_knowledge","visit_number_HK",2
"J5098","naive","post_knowledge","visit_number_LK",1
"J5098","naive","post_knowledge","visit_number_HK",10
"J5106","naive","post_knowledge","visit_number_LK",2
"J5106","naive","post_knowledge","visit_number_HK",1
"J5121","knowledgeable","post_knowledge","visit_number_LK",54
"J5121","knowledgeable","post_knowledge","visit_number_HK",166
"J5132","naive","post_knowledge","visit_number_LK",1
"J5132","naive","post_knowledge","visit_number_HK",0
"J5146","knowledgeable","post_knowledge","visit_number_LK",535
"J5146","knowledgeable","post_knowledge","visit_number_HK",1865
"J5167","naive","post_knowledge","visit_number_LK",687
"J5167","naive","post_knowledge","visit_number_HK",74
"J5184","naive","post_knowledge","visit_number_LK",4
"J5184","naive","post_knowledge","visit_number_HK",12
"J5185","naive","post_knowledge","visit_number_LK",0
"J5185","naive","post_knowledge","visit_number_HK",0
"J5215","naive","post_knowledge","visit_number_LK",123
"J5215","naive","post_knowledge","visit_number_HK",31
"J5222","naive","post_knowledge","visit_number_LK",29
"J5222","naive","post_knowledge","visit_number_HK",11
"J5234","naive","post_knowledge","visit_number_LK",2
"J5234","naive","post_knowledge","visit_number_HK",0
"J5238","naive","post_knowledge","visit_number_LK",1
"J5238","naive","post_knowledge","visit_number_HK",4
"J5250","knowledgeable","post_knowledge","visit_number_LK",7
"J5250","knowledgeable","post_knowledge","visit_number_HK",3
"J5255","naive","post_knowledge","visit_number_LK",2
"J5255","naive","post_knowledge","visit_number_HK",6
"J5269","naive","post_knowledge","visit_number_LK",4
"J5269","naive","post_knowledge","visit_number_HK",10
"J5271","naive","post_knowledge","visit_number_LK",20
"J5271","naive","post_knowledge","visit_number_HK",24
"J5309","naive","post_knowledge","visit_number_LK",24
"J5309","naive","post_knowledge","visit_number_HK",4
"J5316","naive","post_knowledge","visit_number_LK",534
"J5316","naive","post_knowledge","visit_number_HK",104
"J5334","naive","post_knowledge","visit_number_LK",2
"J5334","naive","post_knowledge","visit_number_HK",3
"J5379","naive","post_knowledge","visit_number_LK",179
"J5379","naive","post_knowledge","visit_number_HK",33
"J5428","naive","post_knowledge","visit_number_LK",4
"J5428","naive","post_knowledge","visit_number_HK",2
"J5456","naive","post_knowledge","visit_number_LK",28
"J5456","naive","post_knowledge","visit_number_HK",3
"J5474","naive","post_knowledge","visit_number_LK",13
"J5474","naive","post_knowledge","visit_number_HK",0
"J5475","naive","post_knowledge","visit_number_LK",129
"J5475","naive","post_knowledge","visit_number_HK",36
"J5476","naive","post_knowledge","visit_number_LK",6
"J5476","naive","post_knowledge","visit_number_HK",13
"J5477","naive","post_knowledge","visit_number_LK",292
"J5477","naive","post_knowledge","visit_number_HK",62
"J5488","naive","post_knowledge","visit_number_LK",0
"J5488","naive","post_knowledge","visit_number_HK",1
"J5489","naive","post_knowledge","visit_number_LK",220
"J5489","naive","post_knowledge","visit_number_HK",35
"J5495","naive","post_knowledge","visit_number_LK",3
"J5495","naive","post_knowledge","visit_number_HK",0
"J5498","naive","post_knowledge","visit_number_LK",20
"J5498","naive","post_knowledge","visit_number_HK",3
"J5502","naive","post_knowledge","visit_number_LK",0
"J5502","naive","post_knowledge","visit_number_HK",1
"J5503","naive","post_knowledge","visit_number_LK",3
"J5503","naive","post_knowledge","visit_number_HK",0
"J5519","naive","post_knowledge","visit_number_LK",14
"J5519","naive","post_knowledge","visit_number_HK",4
"J5526","naive","post_knowledge","visit_number_LK",1
"J5526","naive","post_knowledge","visit_number_HK",1
"J5527","naive","post_knowledge","visit_number_LK",0
"J5527","naive","post_knowledge","visit_number_HK",1
"J5540","naive","post_knowledge","visit_number_LK",1
"J5540","naive","post_knowledge","visit_number_HK",0
"J5546","naive","post_knowledge","visit_number_LK",0
"J5546","naive","post_knowledge","visit_number_HK",1
